# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Oct 16 07:48:29 2025
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
#
pl_name,pl_orbper,pl_rade,pl_bmasse,pl_bmassprov,pl_dens
BD-11 4672 c,74.20000000000,4.04000000,15.37000000,Msini,1.280000
BD-13 2130 b,714.29999000000,12.50000000,3108.37740000,Msini,8.750000
BD-14 3065 b,4.28897310000,21.59000000,3932.00000000,Mass,2.150000
BD-17 63 b,655.57000000000,12.80000000,1639.99458012,Mass,4.300000
BD-210397 b,1891.00000000000,14.00000000,214.00000000,Msini,0.429000
BD-210397 c,6240.00000000000,12.90000000,1525.57635360,Mass,3.910000
BEBOP-3 b,547.00000000000,14.20000000,177.34825111,Msini,0.340000
Barnard b,3.15420000000,0.72000000,0.29900000,Msini,4.400000
Barnard c,4.12440000000,0.74300000,0.33500000,Msini,4.490000
Barnard d,2.34020000000,0.69400000,0.26300000,Msini,4.320000
Barnard e,6.73920000000,0.63700000,0.19300000,Msini,4.100000
CD Cet b,2.29070000000,1.82000000,3.95000000,Msini,3.600000
CFBDSIR J145829+101343 b,10037.50000000000,12.40000000,3337.10000000,Mass,9.620000
CFHTWIR-Oph 98 b,8040000.00000000000,20.84870410,2479.06157460,Mass,1.500000
CHXR 73 b,,12.30000000,3994.48600000,Mass,11.800000
CI Tau c,25.20000000000,13.00000000,1144.18226520,Msini,2.860000
COCONUTS-2 b,402000000.00000000000,12.44196858,2542.62725600,Mass,7.250000
CT Cha b,,24.66000000,5403.00000000,Mass,1.980000
CoRoT-1 b,1.50895570000,16.70000000,327.35000000,Mass,0.380000
CoRoT-10 b,13.24060000000,10.87000000,874.00000000,Mass,3.700000
CoRoT-11 b,2.99433000000,16.03000000,740.51000000,Mass,0.990000
CoRoT-12 b,2.82804200000,16.14000000,291.43800000,Mass,0.411000
CoRoT-13 b,4.03519000000,9.92000000,415.70400000,Mass,2.340000
CoRoT-14 b,1.51214000000,12.22000000,2415.40000000,Mass,7.300000
CoRoT-16 b,5.35227000000,13.11000000,170.03200000,Mass,0.440000
CoRoT-17 b,3.76810000000,11.43000000,772.29000000,Mass,2.820000
CoRoT-18 b,1.90006930000,14.68000000,1102.82000000,Mass,2.200000
CoRoT-19 b,3.89713000000,14.46000000,352.78000000,Mass,0.710000
CoRoT-2 b,1.74299350000,16.43200000,1102.82000000,Mass,1.470000
CoRoT-20 b,9.24285000000,9.41556000,1366.66900000,Mass,8.870000
CoRoT-20 c,1675.00000000000,12.20000000,5403.11000000,Msini,16.400000
CoRoT-21 b,2.72474000000,14.57170000,718.29580000,Mass,1.360000
CoRoT-22 b,9.75598000000,4.88000000,12.20000000,Mass,0.249000
CoRoT-23 b,3.63130000000,11.77000000,889.90000000,Mass,3.000000
CoRoT-24 b,5.11340000000,3.70000000,5.70000000,Mass,0.900000
CoRoT-24 c,11.75900000000,5.00000000,28.00000000,Mass,1.300000
CoRoT-25 b,4.86069000000,12.11000000,85.81000000,Mass,0.150000
CoRoT-26 b,4.20474000000,14.12000000,165.26000000,Mass,0.280000
CoRoT-27 b,3.57532000000,11.28700000,3302.11000000,Mass,12.600000
CoRoT-28 b,5.20851000000,10.70459500,153.82972000,Mass,0.690000
CoRoT-29 b,2.85057000000,10.08810000,270.15550000,Mass,1.450000
CoRoT-3 b,4.25680000000,11.32000000,6883.91000000,Mass,26.400000
CoRoT-30 b,9.06005000000,11.30988100,921.70700000,Mass,3.450000
CoRoT-31 b,4.62941000000,16.36514000,266.97720000,Mass,0.330000
CoRoT-32 b,6.71837000000,6.38913000,47.67450000,Mass,1.100000
CoRoT-35 b,3.22748000000,18.83108758,349.61124770,Mass,0.290000
CoRoT-36 b,5.61653100000,15.80466279,216.12331676,Mass,0.250000
CoRoT-4 b,9.20205000000,13.34000000,228.83000000,Mass,0.525000
CoRoT-5 b,4.03789620000,15.55800000,148.42000000,Mass,0.217000
CoRoT-6 b,8.88659300000,13.06800000,940.74000000,Mass,2.320000
CoRoT-7 b,0.85359163000,1.68135000,4.07660518,Mass,9.355000
CoRoT-7 c,3.69800000000,2.83000000,8.40000000,Mass,2.040000
CoRoT-7 d,8.96600000000,4.31000000,17.14200000,Mass,1.180000
CoRoT-8 b,6.21229000000,6.39000000,69.92000000,Mass,1.600000
CoRoT-9 b,95.27265600000,11.94879400,266.97720000,Mass,0.860000
DE CVn b,4098.10000000000,12.40000000,3823.27330161,Msin(i)/sin(i),11.000000
DENIS-P J082303.1-491201 b,246.36000000000,11.90000000,9057.77000000,Mass,29.500000
DH Tau b,,30.26430000,3496.00000000,Mass,0.693000
DMPP-1 b,18.57000000000,5.29000000,24.27000000,Msini,0.901000
DMPP-1 c,6.58400000000,3.06000000,9.60000000,Msini,1.840000
DMPP-1 d,2.88200000000,1.65000000,3.35000000,Msini,4.100000
DMPP-1 e,5.51600000000,1.86000000,4.13000000,Msini,3.530000
DMPP-2 b,5.20720000000,14.30000000,138.89171000,Msini,0.261000
DMPP-3 A b,6.67320000000,1.41000000,2.58000000,Msini,5.060000
DMPP-4 b,3.49820000000,3.53000000,12.20000000,Msini,1.520000
DP Leo b,10220.00000000000,12.70000000,1995.88832000,Mass,5.350000
DS Tuc A b,8.13826800000,5.70000000,413.17900000,Mass,
EPIC 201170410.02,6.79870000000,1.04700000,1.15000000,M-R relationship,5.510000
EPIC 201238110 b,28.16560000000,1.87000000,4.16000000,M-R relationship,3.500000
EPIC 201427007 b,0.72091000000,1.50000000,2.86000000,M-R relationship,4.660000
EPIC 201497682 b,2.13174000000,0.69200000,0.26000000,M-R relationship,4.310000
EPIC 201595106 b,0.87724000000,1.56500000,7.67000000,Mass,11.100000
EPIC 201615463 c,3.80464000000,1.22000000,1.98000000,M-R relationship,5.990000
EPIC 201754305 d,2.71578000000,1.03000000,1.08000000,M-R relationship,5.430000
EPIC 201757695.02,2.04780000000,0.90819000,0.68800000,M-R relationship,5.050000
EPIC 201833600 c,3.96151000000,1.00000000,0.97200000,M-R relationship,5.340000
EPIC 201841433 b,4.16980000000,1.04000000,1.12000000,M-R relationship,5.470000
EPIC 205950854 c,8.05072200000,1.31000000,2.27000000,M-R relationship,5.550000
EPIC 206024342 b,4.50756000000,1.70000000,3.53000000,M-R relationship,3.950000
EPIC 206024342 c,0.91172400000,1.40000000,2.54000000,M-R relationship,5.090000
EPIC 206024342 d,14.64753100000,2.60000000,7.27000000,M-R relationship,2.270000
EPIC 206032309 b,2.87814000000,1.01000000,1.01000000,M-R relationship,5.390000
EPIC 206042996 b,5.29860000000,1.70000000,3.53000000,M-R relationship,3.950000
EPIC 206042996 c,0.35488400000,1.20000000,1.87000000,M-R relationship,5.950000
EPIC 206215704 b,2.25543600000,1.00000000,0.97200000,M-R relationship,5.340000
EPIC 206317286 b,1.58252000000,0.96000000,0.84000000,M-R relationship,5.220000
EPIC 206317286 c,17.51547200000,2.09400000,5.03000000,M-R relationship,3.010000
EPIC 211822797 b,21.17019630000,1.92000000,4.35000000,M-R relationship,3.380000
EPIC 211945201 b,19.49221000000,5.76000000,11.00000000,Mass,0.330000
EPIC 212297394 b,2.28936300000,1.48000000,2.79000000,M-R relationship,4.730000
EPIC 212297394 c,5.21396500000,2.27000000,5.77000000,M-R relationship,2.710000
EPIC 212424622 b,18.09830000000,2.17000000,5.35000000,M-R relationship,2.880000
EPIC 212499991 b,34.88500000000,1.60000000,3.19000000,M-R relationship,4.280000
EPIC 212587672 b,15.28078000000,1.26000000,2.13000000,M-R relationship,5.850000
EPIC 212587672 c,23.22855500000,2.32000000,5.99000000,M-R relationship,2.640000
EPIC 212624936 b,0.57865700000,1.20000000,1.87000000,M-R relationship,5.950000
EPIC 212624936 c,11.81143700000,2.30000000,5.90000000,M-R relationship,2.660000
EPIC 212737443 b,13.60300000000,2.58600000,7.20000000,M-R relationship,2.290000
EPIC 212737443 c,65.55000000000,2.69000000,7.70000000,M-R relationship,2.170000
EPIC 220492298 b,0.76240600000,0.99000000,0.93700000,M-R relationship,5.310000
EPIC 220554210 c,0.70531000000,1.60000000,3.19000000,M-R relationship,4.280000
EPIC 220674823 b,0.57131270000,1.67600000,7.80000000,Mass,9.090000
EPIC 220674823 c,13.33989000000,2.84000000,7.32000000,Mass,1.720000
EPIC 228836835 b,0.72811300000,1.10000000,1.37000000,M-R relationship,5.660000
EPIC 229004835 b,16.14113200000,2.33200000,10.40000000,Mass,4.490000
EPIC 246851721 b,6.18023500000,11.78065900,953.49000000,Mass,3.100000
EPIC 248847494 b,3650.00000000000,12.44199000,4131.79000000,Mass,
EPIC 249893012 b,3.59510000000,1.95000000,8.75000000,Mass,6.390000
EPIC 249893012 c,15.62400000000,3.67000000,14.67000000,Mass,1.620000
EPIC 249893012 d,35.74700000000,3.94000000,10.18000000,Mass,0.910000
FU Tau b,,12.20000000,5085.28000000,Mass,15.400000
G 192-15 b,2.27476000000,1.02000000,1.03000000,Msini,5.330000
G 192-15 c,1219.00000000000,3.87000000,14.30000000,Msini,1.360000
G 196-3 b,,12.00000000,8263.53858200,Mass,26.300000
G 261-6 b,5.45360000000,1.10000000,1.37000000,Msini,5.660000
G 264-012 b,2.30538000000,1.39000000,2.50000000,Msini,5.120000
G 264-012 c,8.05180000000,1.76000000,3.75000000,Msini,3.780000
G 268-110 b,1.43263000000,1.13000000,1.52000000,Msini,5.790000
G 9-40 b,5.74599820000,1.90000000,4.00000000,Mass,3.200000
GJ 1002 b,10.34650000000,1.03000000,1.08000000,Msini,5.430000
GJ 1002 c,21.20200000000,1.10000000,1.36000000,Msini,5.610000
GJ 1061 b,3.20400000000,1.10000000,1.37000000,Msini,5.660000
GJ 1061 c,6.68900000000,1.18000000,1.74000000,Msini,5.820000
GJ 1061 d,13.03100000000,1.16000000,1.64000000,Msini,5.770000
GJ 1132 b,1.62892911000,1.19151465,1.83704819,Mass,5.970000
GJ 1132 c,8.92900000000,1.43000000,2.64000000,Msini,4.960000
GJ 1148 b,41.38000000000,11.90000000,96.70000000,Msini,0.315000
GJ 1148 c,532.58000000000,9.71000000,68.06000000,Msini,0.409000
GJ 1151 c,389.70000000000,3.25000000,10.62000000,Msini,1.700000
GJ 1214 b,1.58040453100,2.73300000,8.41000000,Mass,2.260000
GJ 1252 b,0.51823310000,1.19300000,1.32000000,Mass,4.200000
GJ 1265 b,3.65110000000,2.63000000,7.40000000,Msini,2.240000
GJ 1289 b,111.74000000000,2.38000000,6.27000000,Msini,2.560000
GJ 143 b,35.61253000000,2.61000000,22.70000000,Mass,7.000000
GJ 15 A b,11.44070000000,1.55000000,3.03000000,Msini,4.470000
GJ 15 A c,7600.00000000000,6.67000000,36.00000000,Msini,0.667000
GJ 160.2 b,5.23540000000,3.17000000,10.20000000,Msini,1.760000
GJ 163 b,8.63182000000,3.25000000,10.60000000,Msini,1.700000
GJ 163 c,25.63058000000,2.50000000,6.80000000,Msini,2.390000
GJ 163 d,603.95116000000,5.92000000,29.40000000,Msini,0.779000
GJ 179 b,2288.00000000000,13.80000000,301.93698665,Mass,0.631000
GJ 180 b,17.13300000000,2.43000000,6.49000000,Msini,2.490000
GJ 180 c,24.32900000000,2.41000000,6.40000000,Msini,2.510000
GJ 180 d,106.30000000000,2.66000000,7.56000000,Msini,2.210000
GJ 2030 b,2.38129000000,2.03000000,4.76742611,Msini,3.130000
GJ 2030 c,25533.11353000000,12.30000000,4069.15709482,Mass,12.000000
GJ 2056 b,69.97100000000,4.17000000,16.20000000,Msini,1.230000
GJ 2126 b,272.70000000000,13.60000000,413.17692910,Msini,0.903000
GJ 229 A c,121.93268000000,2.87000000,8.58136699,Msini,1.990000
GJ 229 b,579.47495000000,3.97000000,14.93793513,Msini,1.310000
GJ 238 b,1.74469990000,0.56600000,0.12600000,M-R relationship,3.820000
GJ 251 b,14.23800000000,1.83000000,4.00000000,Msini,3.590000
GJ 27.1 b,15.81900000000,3.66000000,13.00000000,Msini,1.460000
GJ 273 b,18.64980000000,1.51000000,2.89000000,Msini,4.610000
GJ 273 c,4.72340000000,1.06000000,1.18000000,Msini,5.440000
GJ 3021 b,133.71000000000,13.10000000,1071.04000000,Msini,2.620000
GJ 3082 b,11.94900000000,2.79000000,8.20000000,Msini,2.070000
GJ 3090 b,2.85310540000,2.13000000,3.34000000,Mass,1.890000
GJ 3138 b,1.22003000000,1.18000000,1.78000000,Msini,5.950000
GJ 3138 c,5.97400000000,1.88000000,4.18000000,Msini,3.460000
GJ 3138 d,257.80000000000,3.23000000,10.50000000,Msini,1.710000
GJ 317 b,695.69000000000,13.30000000,794.50000000,Mass,1.860000
GJ 317 c,6500.00000000000,13.60000000,454.49462201,Msini,0.993000
GJ 3222 b,10.66669000000,3.40000000,11.44182265,Msini,1.600000
GJ 328 b,3771.00000000000,13.30000000,797.74930157,Msini,1.860000
GJ 328 c,241.80000000000,4.91000000,21.40000000,Msini,0.993000
GJ 3293 b,30.59870000000,5.19000000,23.54000000,Msini,0.925000
GJ 3293 c,122.61960000000,4.87000000,21.09000000,Msini,1.000000
GJ 3293 d,48.13450000000,2.67000000,7.60000000,Msini,2.190000
GJ 3293 e,13.25430000000,1.63000000,3.28000000,Msini,4.160000
GJ 3323 b,5.36360000000,1.23000000,2.02000000,Msini,5.960000
GJ 3323 c,40.54000000000,1.32000000,2.31000000,Msini,5.520000
GJ 3341 b,14.20700000000,2.46000000,6.60000000,Msini,2.440000
GJ 338 B b,24.42200000000,3.25000000,10.60000000,Msini,1.700000
GJ 341 b,7.57686000000,0.88000000,4.00000000,Mass,
GJ 3470 b,3.33664960000,4.57000000,13.90000000,Mass,0.800000
GJ 3473 b,1.19800350000,1.26400000,1.86000000,Mass,5.030000
GJ 3473 c,15.50900000000,2.63000000,7.41000000,Msini,2.240000
GJ 3512 b,203.10900000000,14.30000000,146.51889563,Msini,0.275000
GJ 3512 c,2354.00000000000,14.30000000,143.97626837,Msini,0.271000
GJ 357 b,3.93060000000,1.20000000,1.84000000,Mass,5.600000
GJ 357 c,9.12470000000,1.66000000,3.40000000,Msini,4.080000
GJ 357 d,55.66100000000,2.34000000,6.10000000,Msini,2.620000
GJ 3634 b,2.64561000000,2.83000000,8.40000000,Mass,2.040000
GJ 367 b,0.32192250000,0.69900000,0.63300000,Mass,10.200000
GJ 367 c,11.53010000000,1.86000000,4.13000000,Msini,3.530000
GJ 367 d,34.36900000000,2.33000000,6.03000000,Msini,2.620000
GJ 3779 b,3.02320000000,2.75000000,8.00000000,Msini,2.110000
GJ 3929 b,2.61623500000,1.09000000,1.75000000,Mass,7.300000
GJ 3929 c,15.04000000000,2.26000000,5.71000000,Msini,2.720000
GJ 393 b,7.02679000000,1.17000000,1.71000000,Msini,5.870000
GJ 3942 b,6.90500000000,2.57000000,7.14000000,Msini,2.310000
GJ 3988 b,6.94420000000,1.74000000,3.69000000,Msini,3.850000
GJ 3998 b,2.65033000000,1.39000000,2.50000000,Msini,5.120000
GJ 3998 c,13.72700000000,2.50000000,6.82000000,Msini,2.400000
GJ 3998 d,41.78000000000,2.34000000,6.07000000,Msini,2.600000
GJ 411 b,12.93940000000,1.45000000,2.69000000,Msini,4.850000
GJ 414 A b,50.80000000000,2.63000000,7.60000000,Msini,2.300000
GJ 414 A c,749.83000000000,8.40000000,53.83000000,Msini,0.499000
GJ 422 b,20.12900000000,3.33000000,11.07000000,Msini,1.650000
GJ 4276 b,13.35200000000,4.22000000,16.57000000,Msini,1.210000
GJ 433 b,7.37050000000,2.33000000,6.04300000,Msini,2.630000
GJ 433 c,5094.10500000000,6.27000000,32.42200000,Msini,0.723000
GJ 433 d,36.05900000000,2.14000000,5.22300000,Msini,2.930000
GJ 436 b,2.64388312000,4.17000000,22.10000000,Mass,1.800000
GJ 463 b,3459.00000000000,13.10000000,1080.61658380,Mass,2.640000
GJ 480 b,9.56700000000,3.69000000,13.20000000,Msini,1.440000
GJ 486 b,1.46712127000,1.28900000,2.77000000,Mass,6.660000
GJ 504 b,,12.10569916,1271.30000000,Mass,3.940000
GJ 508.2 b,5300.00000000000,,587.98255295,Msini,
GJ 514 b,140.43000000000,2.13000000,5.20000000,Msini,2.960000
GJ 536 b,8.70874000000,2.41000000,6.37000000,Msini,2.500000
GJ 536 c,32.76100000000,2.30000000,5.89000000,Msini,2.660000
GJ 581 b,5.36860000000,4.79000000,20.50000000,Mass,1.020000
GJ 581 c,12.92110000000,2.50000000,6.81000000,Mass,2.390000
GJ 581 e,3.14810000000,1.38000000,2.48000000,Mass,5.190000
GJ 625 b,14.62800000000,1.49000000,2.82000000,Msini,4.680000
GJ 649 b,600.10000000000,10.80000000,81.99972901,Msini,0.358000
GJ 667 C b,7.20300000000,2.25000000,5.68000000,Msini,2.740000
GJ 667 C c,28.14000000000,1.77000000,3.80000000,Msini,3.770000
GJ 667 C e,62.24000000000,1.45000000,2.70000000,Msini,4.870000
GJ 667 C f,39.02600000000,1.45000000,2.70000000,Msini,4.870000
GJ 667 C g,256.20000000000,1.99000000,4.60000000,Msini,3.210000
GJ 674 b,4.69380000000,3.33000000,11.09000000,Msini,1.650000
GJ 676 A b,1051.44521000000,12.80000000,1840.86213334,Mass,4.820000
GJ 676 A c,13921.42302000000,12.30000000,4288.14086724,Mass,12.700000
GJ 676 A d,3.60076000000,1.78000000,3.81394088,Msini,3.720000
GJ 676 A e,35.47358000000,2.47000000,6.67439655,Msini,2.430000
GJ 680 b,17281.66514000000,12.00000000,7977.49301570,Mass,25.400000
GJ 682 b,17.47800000000,1.93000000,4.40000000,Msini,3.360000
GJ 682 c,57.32000000000,2.89000000,8.70000000,Msini,1.980000
GJ 685 b,24.16000000000,2.95000000,9.00000000,Msini,1.930000
GJ 687 b,38.14200000000,4.32000000,17.20000000,Msini,1.170000
GJ 687 c,727.56200000000,4.14000000,16.00000000,Msini,1.240000
GJ 720 A b,19.46600000000,3.77000000,13.64000000,Msini,1.400000
GJ 724 b,5.10128400000,3.27000000,10.75000000,Msini,1.690000
GJ 740 b,2.37756000000,1.53000000,2.96000000,Msini,4.540000
GJ 806 b,0.92632370000,1.33100000,1.90000000,Mass,4.400000
GJ 806 c,6.64064000000,2.28000000,5.80000000,Msini,2.690000
GJ 832 b,3853.00000000000,13.80000000,314.65012293,Mass,0.658000
GJ 849 b,1925.31000000000,13.90000000,283.82076745,Msini,0.581000
GJ 849 c,5990.00000000000,13.80000000,314.65012293,Msini,0.658000
GJ 86 b,15.76491000000,12.90000000,1404.80860000,Msini,3.600000
GJ 876 b,61.11660000000,13.30000000,723.22350000,Mass,1.690000
GJ 876 c,30.08810000000,14.00000000,226.98460000,Mass,0.455000
GJ 876 d,1.93778000000,2.51000000,6.83000000,Mass,2.370000
GJ 876 e,124.26000000000,3.92000000,14.60000000,Mass,1.330000
GJ 887 b,9.26200000000,1.88000000,4.20000000,Msini,3.470000
GJ 887 c,21.78900000000,2.67000000,7.60000000,Msini,2.190000
GJ 896 A b,284.39000000000,13.30000000,718.29219982,Mass,1.680000
GJ 900 b,,12.40000000,3496.11247700,Mass,10.100000
GJ 9066 c,771.36000000000,9.60000000,66.74396547,Msini,0.415000
GJ 9404 b,13.45860000000,3.48000000,11.90000000,Msini,1.550000
GJ 96 b,73.94000000000,4.67000000,19.66000000,Msini,1.060000
GJ 9689 b,18.27000000000,3.07000000,9.65000000,Msini,1.830000
GJ 9714 b,19240.75467000000,12.50000000,2988.54051102,Mass,8.410000
GJ 9773 b,2965.00000000000,14.20000000,172.58082500,Msini,0.331000
GJ 9827 b,1.20897400000,1.44000000,4.28000000,Mass,7.858000
GJ 9827 c,3.64810300000,1.13000000,1.86000000,Mass,7.142000
GJ 9827 d,6.20183000000,1.98000000,3.02000000,Mass,2.510000
GPX-1 b,1.74457900000,16.47720163,6261.21961790,Mass,8.222423
GQ Lup b,,33.60000000,6356.00000000,Mass,0.921000
GSC 06214-00210 b,,20.17620000,5000.00000000,Mass,3.350000
GU Psc b,,14.17900000,3591.30000000,Mass,6.920000
Gaia-1 b,3.05252400000,13.77583728,533.95172376,Mass,1.120000
Gaia-2 b,3.69152240000,14.81827249,259.66580852,Mass,0.439000
Gaia-4 b,571.30000000000,12.40000000,3750.37520260,Mass,10.800000
Gaia-5 b,358.62000000000,12.10000000,6633.07885409,Mass,20.600000
Gaia22dkvL b,,14.10000000,187.83658854,Mass,0.368000
Gl 378 b,3.82200000000,3.66000000,13.02000000,Msini,1.460000
Gl 410 b,6.02000000000,2.83000000,8.40000000,Msini,2.040000
Gl 49 b,13.85080000000,2.24000000,5.63000000,Msini,2.750000
Gl 686 b,15.53000000000,2.46000000,6.62400000,Msini,2.450000
Gl 725 A b,11.22010000000,1.48000000,2.78000000,Msini,4.710000
Gliese 12 b,12.76140800000,0.95800000,3.87000000,Mass,17.700000
HAT-P-1 b,4.46529976000,14.78467100,166.86075000,Mass,0.282000
HAT-P-11 b,4.88800000000,4.36000000,25.00000000,Mass,1.172000
HAT-P-11 c,3361.00000000000,13.20000000,851.78013076,Mass,2.040000
HAT-P-12 b,3.21305980000,10.74900000,67.05900000,Mass,0.319200
HAT-P-13 b,2.91625000000,14.25800000,270.46200000,Mass,0.362000
HAT-P-13 c,446.27000000000,12.30000000,4538.42100000,Msini,13.400000
HAT-P-14 b,4.62767000000,15.91678000,1093.33520000,Mass,1.560000
